Code	Char	Issue	Correction
U+74F8	瓸	HEKUTOGURA	HEKUTOGURAMU
U+7505	甅	SENCHIGURA	SENCHIGURAMU
U+7593	疓	YAMU YAMAI HOTSUSU	YAMU YAMAI HOSSU
U+75C5	病	YAMU YAMAI UREE	YAMU YAMAI UREI
U+76B7	皷	TSUZUMI	TSUDZUMI
U+775C	睜	METSUKI	MEKKI
U+77AF	瞯	UWAMEZUKAI NAGASHIME	UWAMEDZUKAI NAGASHIME
U+77BE	瞾	TEERU TERASU TEERERU	TERU TERASU TERERU
U+7822	砢	ISHIZUMI	ISHIDZUMI
U+7832	砲	OOZUTSU TSUTSU	OODZUTSU TSUTSU
U+78BB	碻	TASHIIKA TASHIIKAMERU	TASHIKA TASHIKAMERU
U+7906	礆	KEWAASHII	KEWASHII
U+79FC	秼	NOROFU	NOROU
U+7A38	稸	TSUMU TAKUHAHERU	TSUMU TAKUWAERU
U+7AB5	窵	OKUHUKAI	OKUFUKAI
U+7AC6	竆	KIWAAMERU KIWAAMARU	KIWAMERU KIWAMARU
U+7ACD	竍	DEKARITTO	DEKARITTORU
U+7AD5	竕	DESHIRITTO	DESHIRITTORU
U+7AE1	竡	HEKUTORITTO	HEKUTORITTORU
U+7AF0	竰	SENCHIRITTO	SENCHIRITTORU
U+7B3F	笿	WANKAGO TABANERU TSUKAAANERU	WANKAGO TABANERU TSUKANERU
U+7C5D	籝	KAGO HASHIZUTSU	KAGO HASHIDZUTSU
U+7CCE	糎	SENCHIMEETO	SENCHIMEETORU
U+7D04	約	TSUZUMERU TSUZUMAYAKA	TSUDZUMERU TSUDZUMAYAKA
U+7D12	紒	YUU MUSUHU	YUU MUSUBU
U+7D51	絑	SHIYU	SHU
U+7D7B	絻	MOHUKU	MOFUKU
U+7D9A	続	TSUZUKU TSUGU	TSUDZUKU TSUGU
U+7DB4	綴	TSUZURU TOJIRU TSUZURI	TSUDZURU TOJIRU TSUDZURI
U+7DCA	緊	CHIJIMU KIBISHII	CHIDJIMU KIBISHII
U+7E10	縐	CHIJIMI	CHIDJIMI
U+7E2C	縬	CHIJIMU CHIJIMIAYA KINUNOAYA	CHIDJIMU CHIDJIMIAYA KINUNOAYA
U+7E2E	縮	CHIJIMU CHIJIMARU NAOI	CHIDJIMU CHIDJIMARU NAOI
U+7E65	繥	WARAFU TANOSHIMU	WARAU TANOSHIMU
U+7E89	纉	TSUGU TSUZUKERU	TSUGU TSUDZUKERU
U+7E8C	續	TSUZUKU TSUGU	TSUDZUKU TSUGU
U+7E8D	纍	TSUZURU	TSUDZURU
U+7E9A	纚	KAMIZUTSUMI TSUZUKU	KAMIDZUTSUMI TSUDZUKU
U+7E9D	纝	MATOFU KARAMERU KURONAWA	MATOU KARAMERU KURONAWA
U+7E9E	纞	TSUZUKU	TSUDZUKU
U+7F3C	缼	KAAKERU KAAKU	KAKERU KAKU
U+80DB	胛	KAIGARAHO	KAIGARAHONE
U+8105	脅	OBYAKASU ODOSU ODOKASU	OBIYAKASU ODOSU ODOKASU
U+810B	脋	OBIYAAKASU ODOOSU OTOOKASU	OBIYAKASU ODOSU ODOKASU
U+8120	脠	HISHIHO SHIOZUKE	HISHIO SHIODZUKE
U+814C	腌	SHIOZUKE	SHIODZUKE
U+818E	膎	HOJISHI NIKU SAKANA HADAHE	HOJISHI NIKU SAKANA HADAE
U+81F0	臰	KUSAAI	KUSAI
U+8202	舂	USUZUKU TSUKU	USUDZUKU TSUKU
U+8219	舙	TAHAKARU	TABAKARU
U+82AF	芯	HOSOI TOUSHINGU	HOSOI TOUSHINGUSA
U+833C	茼	SHIYUNGIKU	SHUNGIKU
U+83D0	菐	WAZURAHASHII	WAZURAWASHII
U+845B	葛	KUZU TSUZURA	KUZU TSUDZURA
U+8470	葰	SHIYUUGA	SHOUGA
U+8502	蔂	MOTSUKO	MOKKO
U+85E0	藠	RATSUKIYOU	RAKKYOU
U+85ED	藭	SENKIYUU	SENKYUU
U+8618	蘘	MIYOUGA	MYOUGA
U+8677	虷	BOUHURA	BOUFURA
U+8698	蚘	KAICHIYUU HARANOMUSHI	KAICHUU HARANOMUSHI
U+86D5	蛕	KAICHIYUU	KAICHUU
U+870E	蜎	BOUHURA	BOUFURA
U+8842	衂	HANAJI KUJIKERU	HANADJI KUJIKERU
U+8844	衄	HANAJI	HANADJI
U+8858	衘	KUTSUSHIYU	KUTSUSHU KUTSUWA
U+8920	褠	HITOE HITOHENOTSUTSUSODEUDENUKI AHASE	HITOE HITOENOTSUTSUSODEUDENUKI AWASE
U+8935	褵	OBI KINCHIYAKU	OBI KINCHAKU
U+8938	褸	BORO TSUZURU	BORO TSUDZURU
U+8990	覐	OBOOERU SAAMASU SAAMERU	OBOERU SAMASU SAMERU
U+8A43	詃	IZANAU ITSUHARU	IZANAU ITSUWARU
U+8A47	詇	SATOI TSUGERU TOFU KOE	SATOI TSUGERU TOU KOE
U+8A49	詉	KAMABISUSHII WARUKUIFU	KAMABISUSHII WARUKUIU
U+8A4D	詍	SHIYABIRU	SHABERU
U+8A65	詥	YAHARAGU KANAFU ATSUMARIIFU	YAWARAGU KANAU ATSUMARIIU
U+8A7A	詺	NAZUKERU	NADZUKERU
U+8A7E	詾	UTSUTAERU IITATERU MICHIRU ODOSU	UTTAERU IITATERU MICHIRU ODOSU
U+8AAF	誯	TONAAERU	TONAERU
U+8AD1	諑	UTSUTAE	UTTAE
U+8B30	謰	OSHIYABIRI	OSHABERI
U+8B5E	譞	SAKASHII CHIE OHOKUMONOIFU	SAKASHII CHIE OOKUMONOIU
U+8CE1	賡	TSUGU TSUGUNAFU	TSUGU TSUGUNAU
U+8DBB	趻	HURAHURASURU	FURAFURASURU
U+8DDD	距	KEZUME TAGAU HEDATERU	KEDZUME TAGAU HEDATERU
U+8E38	踸	HURAJURASURU	FURAFURASURU
U+8E44	蹄	HIZUME	HIDZUME
U+8E4F	蹏	HIZUME	HIDZUME
U+8E54	蹔	TOTSUSHINSURU	TOSSHINSURU
U+8F00	輀	HITSUGIGURUMA JISHIYA	HITSUGIGURUMA JISHA
U+8F5C	轜	HITSUGIGU	HITSUGIGURUMA JISHA
U+8FA1	辡	UTSUTAHERU	UTTAERU
